Arthur Dent;Stopařův průvodce po Galaxii
Zafod Bíblbrox;Stopařův průvodce po Galaxii
Ford Prefect;Stopařův průvodce po Galaxii
Marvin;Stopařův průvodce po Galaxii
Slartibartfast;Stopařův průvodce po Galaxii
Trillian;Stopařův průvodce po Galaxii
Tyrion Lannister;Game of Thrones
Cersei Lannister;Game of Thrones
Arya Stark;Game of Thrones
Daenerys Targaryen;Game of Thrones
Jon Snow;Game of Thrones
Sansa Stark;Game of Thrones
Joffrey Baratheon;Game of Thrones
Theon Greyjoy;Game of Thrones
Catelyn Stark;Game of Thrones
Petyr Littlefinger Baelish;Game of Thrones
Robb Stark;Game of Thrones
Shae;Game of Thrones
Frodo Pytlík;Pán Prstenů
Bilbo Pytlík;Pán Prstenů
Gandalf;Pán Prstenů
Aragorn;Pán Prstenů
Legolas;Pán Prstenů, elf
Sauron;Pán Prstenů, oko
Glum;Pán Prstenů
Gimli;Pán Prstenů
Mrakoplaš;Zeměplocha, Terry Pratchett
Dvojkvítek;Zeměplocha, Terry Pratchett
Krysí Smrť;Zeměplocha, Terry Pratchett
Nac Mac Fíglové;Zeměplocha, Terry Pratchett
Mort;Zeměplocha, Terry Pratchett
Zavazadlo;Zeměplocha, Terry Pratchett
Eragon;Eragon, Odkaz dračích jezdců
Arya;Eragon, Odkaz dračích jezdců
Safira;Eragon, Odkaz dračích jezdců
Nasuada;Eragon, Odkaz dračích jezdců
Brom;Eragon, Odkaz dračích jezdců
Sherlock Holmes;Arthur Conan Doyle
John Watson;Sherlock Holmes, Arthur Conan Doyle
Miroslav Žamboch;Spisovatel
Jiří Walker Procházka;Spisovatel
Petr Schonk;Spisovatel
Jan Hlávka;Spisovatel
Tomáš Němec;Spisovatel
Ondřej Neff;Spisovatel
Tomáš Bartoš;Spisovatel
Julie Capulet;Romeo a Julie
Romeo Montegue;Romeo a Julie
Mercutio;Romeo a Julie
Tybalt;Romeo a Julie
Pinoccio;
D'Artagnan;Tři mušketýři
Athos;Tři mušketýři
Portos;Tři mušketýři
Aramis;Tři mušketýři
Kocour v botách;
Mirek Dušín;Rychlé Šípy, LŠMF2015
Jarka Metelka;Rychlé Šípy, LŠMF2015
Rychlonožka;Rychlé Šípy, LŠMF2015
Červenáček;Rychlé Šípy, LŠMF2015
Jindra Hojer;Rychlé Šípy, LŠMF2015
Děd Vševěd;
Zlatovláska;
Pipi Dlouhá punčocha;
Hermiona Grangerová;Harry Potter
Harry Potter;Harry Potter
Ron Weasley;Harry Potter
Lord Voldemort;Harry Potter
Draco Malfoy;Harry Potter
Ginny Weasleyová;Harry Potter
Neville Longbottom;Harry Potter
Lenka Láskorádová;Harry Potter
Sirius Black;Harry Potter
Severus Snape;Harry Potter
Minerva McGonagallová;Harry Potter
Albus Percival Wulfric Brian Brumbál;Harry Potter
Henry Dashwood;Jane Austen, Rozum a cit
Elinor Dashwoodová;Jane Austen, Rozum a cit
Pan Darcy;Jane Austen, Pýcha a předsudek
Elizabeth Bennetová;Jane Austen, Pýcha a předsudek
Pan Bennet;Jane Austen, Pýcha a předsudek
Lady Catherine de Bourgh;Jane Austen, Pýcha a předsudek
Černý mustang;Karl May, Vinnetou
Inču-čuna;Karl May, Vinnetou
Old Shatterhand;Karl May, Vinnetou
Vinnetou;Karl May, Old Shatterhand
Old Firehand;Karl May, Vinnetou
Brouk Pytlík;
Vesmírná odysea;Artur C. Clarke
